"!Template name","LANG_SE","LANG_EN"
"_termsPageH1","SKRIVAPÅ ALLMÄNNA VILLKOR (2011:02)","SCRIVE TERMS OF SERVICE (2011:02)"
"_termsPageH2Law","9. Tillämplig Lag och Jurisdiktion","9. Applicable Law and Jurisdiction"
"_termsPageH2LawBody","Dokument som undertecknas genom Tjänsten ska – såvida inte annat
 anges i avtalet – regleras av och tolkas i enlighet med svensk
 materiell rätt. Dessa Villkor och alla frågeställningar kring
 dem och alla frågeställningar som rör Tjänsten regleras av och
 tolkas i enlighet med svensk materiell rätt och prövning skall
 ske av svensk domstol med Stockholms tingsrätt som första instans.
 Oavsett ovan nämnda förfarande för att lösa meningsskiljaktigheter
 har vi rätt att väcka talan angående förfallna fordringar i
 domstolar som har jurisdiktion över Användaren eller någon av
 Användarens tillgångar.","Document signed by the Service shall - unless otherwise specified in the contract – be governed by and construed in accordance with Swedish law. These Terms and all issues concerning them and all issues relating to the Service is governed by and construed in accordance with Swedish law and must be examined by a Swedish court in the District Court of Stockholm. Regardless of the above procedure to resolve disagreements, we have the right to bring an action on outstanding debts in the courts having jurisdiction over the User or any of the user's assets."
"_termsPageH2Ownerrights","7. Äganderättigheter","7. Proprietary Rights"
"_termsPageH2OwnerrightsBody1","Ni bekräftar och accepterar att SkrivaPå (eller Företagets licensgivare)
 innehar fullständig äganderätt till Tjänsten och alla intressen
 däri, inklusive immateriella rättigheter som finns i Tjänsten
 (oavsett om dessa rättigheter är registrerade eller inte, och
 oavsett var i världen dessa rättigheter förekommer). Ni bekräftar
 vidare att Tjänsten kan innehålla information som av SkrivaPå
 är avsedd att vara konfidentiell och att Ni inte, utan ett föregående
 skriftligt samtycke från SkrivaPå, skall lämna ut någon sådan
 information. Om inte annat skriftligen avtalats med SkrivaPå
 skall inte något i Villkoren ge Er en rätt att använda något
 av Företagets firmanamn, varumärken, logotyper, domännamn eller
 annat särskiljande kännetecken. Förutom den begränsade licens
 som beviljas i detta kapitel punkt a, bekräftar och accepterar
 SkrivaPå att SkrivaPå inte enligt dessa Villkor erhåller någon
 rätt, äganderätt eller intressen från Er (eller Era licensgivare)
 i eller till något Material Ni skickar in, lägger upp, överför
 eller visar på eller genom Tjänsten, inklusive immateriella
 rättigheter som finns i detta Material (oavsett om dessa rättigheter
 är registrerade eller inte, och oavsett var i världen dessa
 rättigheter förekommer). Om Ni inte skriftligen avtalat annat
 med SkrivaPå, accepterar Ni att Ni är ansvarig för att skydda
 och upprätthålla dessa rättigheter och att SkrivaPå inte har
 någon skyldighet att göra detta för Er räkning. Om Ni inte fått
 uttrycklig skriftlig tillåtelse från SkrivaPå, accepterar Ni
 att Ni i Er användning av Tjänsterna inte skall använda något
 företags eller någon organisations varumärke, firmanamn eller
 logotyp på ett sätt som sannolikt kan eller är avsett att orsaka
 förväxling avseende ägaren eller behörig användare av sådana
 märken, namn eller logotyper.","You acknowledge and agree that SkrivaPå (or the Company's licensors) own all property rights to the Service and all interests therein, including intellectual property rights contained in the Service (whether those rights are registered or not, and wherever in the World those rights may exist). You further acknowledge that the Service that may contain information of SkrivaPå is intended to be confidential and that You may not, without the prior written consent from SkrivaPå, disclose any such information. Unless otherwise agreed in writing with SkrivaPå nothing in the Terms gives You the right to use any of the Company trade names, trademarks, logos, domain names or other distinguishing marks. Except for the limited license granted in section 7 (a), SkrivaPå acknowledges and agrees that SkrivaPå under these conditions obtains no right, title or interest from You (or your licensors) in or to any content You submit, post, transmit or display on or through the Service, including intellectual property rights which subsist in that content (whether those rights are registered or not, and wherever in the world those rights may exist). If You have not agreed otherwise in writing with SkrivaPå, You agree that You are responsible for protecting and enforcing those rights and that SkrivaPå does not have any obligation to do so on your behalf. If You have not received the express written permission from SkrivaPå, You agree that You in your use of the Services shall not use any company or organization's trademark, trade name or logo in a manner that is likely or intended to cause confusion about the owner or authorized user of such marks, names or logos."
"_termsPageH2OwnerrightsBody2","<h4>a. Feedback:</h4> Ni godkänner att SkrivaPå offentliggör
 och på andra sätt kan använda Era kommentarer och feedback utan
 betalning eller annan förpliktelse jämtemot Er. Ni accepterar
 att alla kommentarer Ni gör om SkrivaPå direkt till oss via
 e-post, via vårt kontaktformulär, eller på vårt forum, kan användas
 som omdömen om Tjänsten och kan användas i vår marknadsföring
 utan någon betalning eller annan förpliktelse mot Er. När Ni
 har delgivit SkrivaPå feedback kan den inte längre ändras av
 Er.","<h4>a. Feedback:</h4> You agree that SkrivaPå may, at its own option, publish and otherwise use your comments and feedback, without payment or other obligations to You. You agree that any comments You make about SkrivaPå directly to us via email, via our contact form, or on our forums, may be used as attributes of the Service and may be used in our marketing without any payment or other obligation to You. Once You have served SkrivaPå feedback it cannot be changed by You."
"_termsPageH2Responsability","8. Ansvarsbegränsning","8. Disclaimer"
"_termsPageH2ResponsabilityBody","Ni accepterar att hålla SkrivaPå och dess moderbolag, systerbolag,
 dotterbolag, filialer, tjänsteleverantörer, andra Användare,
 distributörer, licensgivare, tjänstemän, chefer och anställda
 fria från anspråk eller krav, inklusive alla advokatkostnader,
 från Er eller någon tredje part för någon direkt, indirekt,
 slumpmässig, speciell, följande eller specifik skada, inklusive,
 men inte begränsat till, skador för utebliven vinst, goodwill,
 användning, data, eller andra ickefysiska förluster (även om
 SkrivaPå har blivit delgivna denna möjlighet), och inklusive
 skador resulterande från: (i) dokument eller transaktioner skickade
 genom Tjänsten där SkrivaPå inte varit en direkt avtalspart;
 (ii) användningen eller oförmågan att använda, inklusive fel/misstag,
 avbrott eller förseningar; otillåten access till eller ändring
 i Era dokument eller transaktioner; eller (iii) någon annan
 fråga som relaterar till Tjänsten. Företagets ansvar ska inte
 övergå, totalt, summan av det minsta beloppet av antingen (A)
 Era totala betalningar för användandet av Hemsidan och Tjänsten
 under detta avtal inom senaste 12-månadersperioden eller, (B)
 max femtusen kronor.","You agree to hold SkrivaPå and its parent companies, sister companies, subsidiaries, affiliates, service providers, other Users, distributors, licensors, officers, directors and employees free from any claim or demand, including all attorneys' fees, from You or any third party for any direct, indirect, random, special, following or specific injury, including but not limited to, damages for loss of profits, goodwill, use, data or other intangible losses (even if SkrivaPå has been notified of this option), and including injuries resulting from: (i) documents or transactions submitted by the Service where SkrivaPå not been a direct party to the agreement, (ii) the use or inability to use, including errors/mistakes, interruptions or delays; unauthorized access to or alteration of your documents or transactions or (iii) any other issue relating to the Service. SkrivaPå's responsibility shall not exceed, in total, the sum of the minimum amount of either (A) Your total payments for the use of the Website and the Service under these Terms within the past 12 months or, (B) maximum five thousand kronor."
"_termsPageH2Signprocess","4. Signerade dokument och signeringsprocess","4. Signed documents and the signing process"
"_termsPageH2SignprocessBody1","SkrivaPå tillhandahåller Tjänsten som ett verktyg för Användaren
 att kunna underteckna dokument med tredje part. Följande bestämmelser
 gäller för dokument undertecknade genom SkrivaPå.","SkrivaPå provides the Service as a tool for the user to sign documents with third parties. The following rules apply to documents signed by SkrivaPå."
"_termsPageH2SignprocessBody2","<h4>a. SkrivaPå är aldrig en avtalspart:</h4> Som en del av Tjänsten
 stämplar SkrivaPå dokument som undertecknats av alla parter
 med certifikat som bekräftar att SkrivaPå bevittnat transaktionen.
 Syftet med att SkrivaPå bevittnar transaktionen är att stärka
 dokumentets bevisstyrka i domstol. SkrivaPå kan dock aldrig
 genom denna procedur anses bli undertecknande part i dokumentet
 och SkrivaPå skall inte ha något som helst ansvar gällande giltigheten,
 verkställandet eller parternas efterlevande av sådana dokument.
  SkrivaPå kan endast anses bundet av innehållet i ett dokument
 om en registrerad eller befullmäktigad firmatecknare genom en
 registrerad Användare av Tjänsten i eget namn och i Företagets
 räkning undertecknar ett dokument genom Tjänsten.","<h4>a. SkrivaPå is never a party to the agreement:</h4> As part of the Service SkrivaPå ensures that the document is signed by all parties by issuing a certificate confirming that SkrivaPå has witnessed the transaction. The purpose of SkrivaPå witnessing the transaction is to strengthen the document evidence, for the unlikely event that it is needed in a court of law. By this procedure SkrivaPå is never considered to be a signatory of the document and SkrivaPå shall have no liability whatsoever regarding the validity, content, enforcement or parties’ survivors of such documents. SkrivaPå can only be bound by the contents of a document if a registered or authorized signatory by a registered user of the Service in its own name and on behalf of the Company signs a document through the Service."
"_termsPageH2SignprocessBody3","<h4>b. Parternas förpliktelser och SkrivaPå´s ansvarsfirhet:</h4>
 När samtliga parter undertecknat ett dokument genom Tjänsten
 och dokumentets färdigställande bekräftats av Tjänsten blir
 de undertecknande parterna förpliktigade och berättigade i enlighet
 med överenskommelserna i dokumentet. SkrivaPå blir dock aldrig
 ansvarigt eller på något som helst sätt skyldigt att övervaka
 eller ingripa om undertecknande parter bryter mot sina förpliktelser
 eller felaktigt utnyttjar sina rättigheter enligt överenskommelse
 i det undertecknade dokumentet.","<h4>b. The parties' obligations and SkrivaPå's limitation of liability:</h4> Once all parties have signed a document through the Service, and document completion has been confirmed by the Service, the signatories have the obligations and rights in accordance with the agreement/s in the document. SkrivaPå will never be responsible or in any way obligated to monitor or intervene, should the signatories not abide by their obligations in the agreement or improperly exercise their rights as agreed in the signed document."
"_termsPageH2SignprocessBody4","<h4>c. Dispyter och extratjänsten SkrivaPå Bevis:</h4> Om oenighet
 uppkommer mellan parterna med anledning av ett dokument som
 har färdigställts genom SkrivaPå, ska SkrivaPå inte ha något
 ansvar eller skyldighet med avseende på denna konflikt förutom
 genom företagets vanliga kundsupport hjälpa Användarna hitta
 och hantera den information som finns tillgänglig genom Tjänsten.
 För ytterligare bevismaterial tillhandahåller SkrivaPå extratjänsten
 SkrivaPå Bevis som ger Användaren möjligheten att mot betalning
 och i enlighet med våra Särskilda Utdragsvillkor göra utdrag
 ur Företagets lagrade bevisunderlag.","<h4>c. Disputes and the extra service “SkrivaPå Proof”:</h4> If any disagreement arises between the parties regarding a document that was prepared by SkrivaPå, SkrivaPå will have no liability or obligation with respect to this conflict except through the company's usual customer support to help users find and manage the information available through the Service. For further evidence SkrivaPå provides the extra service SkrivaPå Proof that gives the user the ability to revert for payment in accordance with our Special Extract Terms of extracts from the Company recorded evidence base."
"_termsPageH2SignprocessBody5","<h4>d. Företagets kommunikation med inbjudna personer:</h4> Ni
 godkänner och befullmäktigar SkrivaPå att genom Tjänsten eller
 genom representanter för SkrivaPå kommunicera med av Er direkt
 eller indirekt inbjudna personer (en indirekt inbjuden person
 är t.ex. åskådare som genom er tillåtelse bjudits in av någon
 av era direkt inbjuda personer) gällande de dokument som ska
 undertecknas och delge dem de dokument och den information som
 rimligen behövs för att de ska kunna (1) granska dokumentet,
 (2) granska undertecknande parters identitet, (3) veta huruvida
 dokumentet undertecknats eller inte undertecknats och förstå
 omständigheterna kring händelseförloppet och (4) i efterhand
 kunna granska av SkrivaPå genererade och lagrade bevismaterial
 kring transaktionen. Sådan information kan omfatta, men är inte
 begränsad till, ert namn, e-postadress, personnummer, fotografi
 och IP-adress.","<h4>d. SkrivaPå's communications with invited guests:</h4> You agree and hereby authorize SkrivaPå to, through the Service or by representatives of SkrivaPå, communicate with persons directly or indirectly invited by You (an indirect invited person is e.g. spectators invited through your permission by one of your directly invited individuals) regarding the documents to be signed and serve them the documents and information reasonably necessary to enable them to (1) review the document, (2) examine the signing parties’ identities, (3) to know whether the document is signed or not signed and understand the circumstances surrounding the events and (4) retrospectively examine the SkrivaPå generated and stored evidence of the operation. Such information may include, but is not limited to, your name, email address, date of birth, photograph and IP address."
"_termsPageH2SignprocessBody6","<h4>e. Företagets användning av dokument och information:</h4>
 Genom att delge SkrivaPå dokument och/eller information som
 skall undertecknas och/eller administreras via Tjänsten, godkänner
 Ni att SkrivaPå trycker sitt sigill och Era och inbjudna personers
 uppgifter på det färdigställda dokumentet och Ni ger SkrivaPå
 tillstånd att automatiskt och/eller manuellt distribuera kopior
 av det färdigställda dokumentet till Er och alla deltagande
 personer.","e. Company's use of documents and information: By submitting SkrivaPå documents and/or information to be signed and/or administered through the Service, You agree that SkrivaPå may press its seal as well as your and your invited gusts’ information on the completed document, and You give permission SkrivaPå to automatically and/or manually distribute copies of the completed document to You and all participating individuals."
"_termsPageH2SignprocessBody7","<h4>f. Dokuments rättsliga verkan och SkrivaPå´s ansvarsfrihet:</h4>
 Alla påståenden gjorda av SkrivaPå om giltigheten av dokument
 som undertecknats på elektronisk väg är inte avsedda för, och
 ska inte tolkas som, juridisk rådgivning. SkrivaPå frånsäger
 sig allt ansvar för att säkerställa att dokument som undertecknats
 genom Tjänsten är giltiga eller tvingande enligt lagstiftningen
 i ett visst land, stat eller annan jurisdiktion.  Om Ni önskar
 kontrollera giltigheten eller verkställbarheten av något dokument
 Ni planerar att underteckna eller undertecknat genom Tjänsten,
 eller vill driva igenom ett dokument som undertecknats genom
 tjänsten, bör Ni rådgöra med en behörig jurist med lämplig juridisk
 sakkunskap.","<h4>f. Dokuments legal effect and SkrivaPå's discharge:</h4> All statements made by SkrivaPå regarding the validity of documents signed electronically are not intended to be, and should not be interpreted as, legal advice. SkrivaPå disclaims any responsibility to ensure that the documents signed by the Service are valid or enforceable under the laws of a particular country, state or other jurisdiction. If You wish to review the validity or enforceability of any documents You plan to sign or signed by the Service, or want to push through a document signed by the Service, You should consult with appropriate legal expertise."
"_termsPageH2SignprocessBody8","<h4>g. Skatter:</h4> Ni accepterar att Ni och varje annan part
 som undertecknat ett dokument genom tjänsten själva ansvarar
 för (1) fastställandet av skatter som Ni kan vara skyldig till
 följd av sådana dokument, och (2) insamling, betalning och rapportering
 av nödvändig avgifter enligt gällande lag. Ni accepterar att
 SkrivaPå inte har något ansvar att betala, samla in eller rapportera
 tillämpliga skatter i samband med Ert dokument, och Ni accepterar
 även att kompensera, försvara och hålla SkrivaPå skadeslösa
 från alla anspråk, krav, skadestånd, viten, böter, kostnader
 och andra utgifter relaterade till dokumentet.","<h4>g. Taxes:</h4> You agree that You and any other party signed a document through the Service itself is responsible for (a) the determination of taxes You may owe as a result of such documents, and (2) the collection, payment and reporting of required fees under the appropriate law. You agree to SkrivaPå has no responsibility to pay, collect or report applicable taxes associated with your document, and You also agree to indemnify, defend and hold SkrivaPå harmless from all claims, demands, damages, penalties, fines, costs and other expenses related to the document."
"_termsPageH2Useraccounts","2. Användarkonton","2. User Accounts"
"_termsPageH2UseraccountsBody1","Ni är ansvarig för att hemlighålla och skydda Er kontoinformation,
 inklusive koder, och ansvarar för all annan aktivitet som sker
 via Ert konto. Ni ska omedelbart meddela SkrivaPå vid misstanke
 om otillåten användning eller försök till användning av Ert
 konto eller Er kod, eller andra brott mot säkerheten. Ni får
 inte heller vid något tillfälle använda någon annans kod eller
 konto eller på annat ej auktoriserat vis försöka få tillgång
 till Tjänsten.","You are responsible for maintaining the confidentiality and to protect your account information, including codes, and You are also responsible for any other activity on your account. You shall immediately notify SkrivaPå on suspicion of unauthorized use or attempted use of your account or your code, or other security breach. You must not, at any time, use someone else's code or account or in any other unauthorized way attempt to get access to the Service."
"_termsPageH2UseraccountsBody2","<h4>a. Kontovillkor:</h4> Ni accepterar att Ni ska ge SkrivaPå
 korrekt, uppdaterad och fullständig information om Er själv
 och Er faktura-/betalinformation. Ni ska uppdatera all kontoinformation
 genom att följa de procedurer som Tjänsten tillhandahåller.
 Ni får inte använda någon automatisk apparat, program, algoritm,
 metod, eller någon liknande manuell process, för att komma åt,
 införskaffa, kopiera, sondera, indexera, manipulera, testa eller
 övervaka någon del av Tjänsten eller något Innehåll, eller på
 något som helst sätt reproducera eller kringgå Tjänstens struktur
 eller presentation, eller för att försöka införskaffa något
 material, dokument, eller information på något annat sätt än
 genom den infrastruktur som skapats och gjorts tillgänglig av
 SkrivaPå eller dess samarbetspartners i detta syfte. Ni accepterar
 att Ni inte kommer att göra något som utsätter Tjänstens infrastruktur,
 eller några system eller nätverk som är del av eller anknutna
 till Tjänsten för en orimlig belastning. ","<h4>a. Account Terms:</h4> You agree that You will give SkrivaPå accurate, current and complete information about yourself and your invoice/payment information. You shall update all account information by following the procedures, which the Service provides. You may not use any automated device, program, algorithm, method, or any similar manual process, to access, acquire, copy, probe, index, manipulate, test or monitor any portion of the Service or any Content, or in any way reproduce or circumvent the Service's structure or presentation, or to attempt to obtain any materials, documents or information through any means other than the infrastructure created and made available by SkrivaPå, or its partners, to that end. You agree that You will not perform any action that exposes the Service's infrastructure, or subject any systems or networks that are part of or affiliated with the Service, to an excessive burden."
"_termsPageH2UseraccountsBody3","<h4>b. Användarinnehåll:</h4> Ni accepterar att Ni inte kommer
 att använda Tjänsten i illegala syften, för att störa Tjänsten
 eller för att sprida innehåll som bryter mot integritet, upphovsrätt
 eller ägarrätt för någon tredje part, eller för syften som av
 SkrivaPå uppfattas som olagliga, obscena, kränkande, förolämpande,
 hotfulla, vulgära eller på andra sätt klandervärda. SkrivaPå
 är inte ansvarigt för misslyckanden eller förseningar av att
 ta bort sådant innehåll. SkrivaPå har rätt, men inte någon skyldighet,
 att övervaka allt användargenererat innehåll, inklusive kommentarer
 och kommunikation, för att avgöra huruvida Villkoren efterlevs
 av Användaren, för att tillgodose att lagar och regler efterföljs
 eller för att tillfredställa förfrågningar från en statlig myndighet.
 SkrivaPå och dess samarbetspartners har rätt att när som helst
 ta bort, blockera och processa mot Användare och användarinnehåll
 som, enligt SkrivaPå anses bryta mot Villkoren eller på annat
 sätt bryter mot gällande lagar och regler. Ni är själv fullt
 ansvarig för innehållet i Ert konto och de transaktioner som
 görs med Ert konto genom Tjänsten.","<h4>b. User Content:</h4> You agree that You will not use the Service for illegal purposes, to disrupt the Service or to disseminate content that violates privacy, copyright or proprietary right of any third party, or for purposes of SkrivaPå that are or may be perceived as illegal, obscene, abusive, libelous, threatening, vulgar or otherwise reprehensible. SkrivaPå is not responsible for any failure or delay in removing such content. SkrivaPå has the right, but not the obligation, to monitor all user-generated content, including comments and communications, in order to determine whether conditions are complied with by the user, to ascertain that the laws and rules are abided by or to satisfy requests from a government agency. SkrivaPå and its partners have the right to, at any time, delete, reject and litigate against users and user content, if SkrivaPå deems it to violate the Terms or otherwise violate any applicable laws and regulations. You yourself are fully responsible for the contents of your account and transactions made with your account through the Service."
"_termsPageH2UseraccountsBody4","<h4>c. Kostnader och betalning:</h4> SkrivaPå tar betalt månadsvis
 för Era upplupna kostnader enligt gällande prisplan genom fakturering
 eller genom att dra pengarna från Ert registrerade kreditkort.
 Våra fakturor förfaller till betalning 14 dagar efter fakturadatum.
 För påminnelse debiteras en påminnelseavgift om 50 SEK. Vi kommer
 att debitera dröjsmålsränta från förfallodagen till datum för
 betalning. Räntan är 15% plus den aktuella statslåneräntan.
 Vi tillämpar en administrationsavgift om 50 SEK exklusive moms
 per faktura som understiger ett värde om 500 SEK.","<h4>c. Cost and payment:</h4> SkrivaPå charges monthly for your pending charges under an existing price plan by billing or by pulling money from your registered credit card. Our invoices are due 14 days after invoice date. Reminders will be charged at a late payment fee of 50 SEK. We will charge interest from the due date to the date of payment. The interest rate is 15% plus the current government borrowing rate. We apply an administration fee of 50 SEK excluding VAT per invoice, which is below a value of 500 SEK."
"_termsPageH2UseraccountsBody5","<h4>d. Avbrott i Tjänsten eller uppsägning:</h4> Ni accepterar
 att SkrivaPå när som helst, utan förvarning, kan frysa Ert konto
 eller på annat sätt stoppa Er tillgång till Tjänsten vid (1)
 misstankar om brott mot Villkoren, (2) våra försök att åtgärda
 säkerhetsbrister i mjukvaran eller för att skydda Innehåll,
 (3) modifiering av Tjänsten, (4) oväntade operativa avbrott
 eller problem, (5) försenade betalningar eller (6) uttrycklig
 åtgärdsförfrågan från lagorgan eller andra statliga myndigheter.
 Ni accepterar att SkrivaPå också har rätt att med en veckas
 förvarning avsluta ert konto vid (1) konstaterade brott mot
 Villkoren, (2) Användares inaktivitet under mer än 12 månader,
 (3) betalning förfallen till kronofogden eller (4) uttrycklig
 åtgärdsförfrågan från lagorgan eller andra statliga myndigheter.
 SkrivaPå kommer inte att vara skyldig Er eller någon tredje
 part för att Ert konto på Tjänsten frysts eller avslutats. ","<h4>d. Suspension of Service or termination:</h4> You agree to that SkrivaPå at any time, without notice, may freeze your account or otherwise stop your access to the Service at (a) alleged breaches of the conditions, (2) our attempt to address safety in the software or to protect the contents, (3) modification of the Service, (4) unexpected operational interruptions or problems, (5) deferred payment or (6) explicit action request from any legal authority or other government authorities. You agree to that SkrivaPå also is entitled to, with a week's notice, terminate your account at (1) clear violations of the conditions, (2) User inactivity for more than 12 months, (3) payment due to the bailiff, or (4) explicit action request from any legal authority or other government authorities. SkrivaPå will not be liable to You or any third party to your account based on the Service being frozen or terminated."
"_termsPageMetaDescription","Signera och arkivera dina avtal elektroniskt. All information
 ni delger SkrivaPå eller dess tjänster hanteras med största
 möjliga försiktighet.","Sign and store your contracts online. All information you share with Scrive and its services are hanled with great carefulness."
"_termsPageTitle","| Allmänna villkor","| Terms Of Service"
