"!Template name","LANG_SE","LANG_EN"
"_securityPageH1","SÄKERHET","SECURITY"
"_securityPageH2IntroBody2","<li>Våra kunder måste kunna lita på oss som tillhandahållare
 av en premiumtjänst som behandlar och skyddar deras juridiska
 dokument, och inte utsätter dokumentens integritet och juridiska
 trovärdighet för risk. Syftet är att dokument som behandlats
 genom tjänsten ska ha högsta möjliga trovärdighet vid eventuella
 tvister. Detta gör att SkrivaPå måste hålla en hög säkerhetsprofil
 för att möta kundernas förväntningar.</li>	<li>Våra kunder använder
 vår tjänst till lagring av sina mest känsliga företagsdata.
 Att skydda dessa data tillräckligt bra är inte bra nog. Material
 och dokument måste vara 100 % skyddade och säkra.</li>","<li>Our customers must be able to trust us as a provider of a
 premium service handling and protecting their legal documents,
 that does not expose the integrity and the trustworthiness of
 the documents to any risk. The intention is that documents treated
 by the service shall have the highest trustworthiness possible
 in a possible dispute. Because of this, Scrive needs to maintain
 a high security standard to meet the expectations of our customers.</li>	<li>Our
 customer use our service for storage of their most sensitive
 company data. When protecting this kind of data, sufficiently
 good is not good enough. Materials and documents has to be 100
 % protected and secured.</li>"
"_securityPageH2IntroBody3","Vi strävar efter att alltid tillämpa den senaste tekniken i vår
 tjänst för att på så sätt kunna ligga i framkant och vara marknadsledande
 på säkerhet. Följande är några av våra viktigaste säkerhetsåtgärder
 idag:","We always strive for using the latest technology in our service
 and being the market leader in security. These are some of the
 Most important security action taken by us today:"
"_securityPageH2IntroBody4","<li>	Haskell utgör själva grunden för vårt system</li>	<li>	TrustWeaver
 säkerhetsklassad premiumlagring</li>	<li>	Högsta möjliga SSL
 256 bit kryptering för kommunikation med användare via webb
 och e-mail</li>	<li>	2048 bit kryptering, AES certifikat och
 RSA-nycklar för intern datatransfer mellan oss och våra partners</li>	<li>	Förändringshantering
 med flera steg av ändringsacceptans</li>	<li>	Strikt säkerhetspolicy
 för all SkrivaPå personal</li>	<li>	Del i ledande säkerhetsforskning
 via partnerskap med Chalmers datasäkerhetsgrupp</li>","<li>	Haskell forms the base of our system</li>	<li>	TrustWeaver
 secure premium storage</li>	<li>	Most powerful SSL 256 bit encryption
 for communication with our users through webb and email</li>	<li>	2048
 bit encryption, AES certificate and RSA-keys for internal data
 transfer between us and our partners.</li>	<li>	Change management
 processes with several steps of approval</li>	<li>	Strict staff
 policy for all Scrive employees</li>	<li>	Participation in leading
 security research through the data security group at Chalmers
 Technical University.</li>"
"_securityPageH2SSL","SSL 256 kryptering","SSL 256 encryption"
"_securityPageH2SSLBody","För att säkra all kommunikation med våra användare via webbplatsen
 och e-mail använder vi 256 bits kryptering. Detta är den kraftigaste
 standardkryptering som finns att tillgå och i praktiken dubbelt
 så kraftig som den kryptering de största svenska bankerna använder
 för sina IT-banktjänster.","To ensure the security of all communication with our customers
 via the website and via e-mail, we use 256 bit encryption. This
 is the most powerful type of standard encryption available,
 and is practically twice as powerful as the encryption used
 by the online services of the largest Swedish banks."
"_securityPageH2Staff","Personalpolicy","Staff policy"
"_securityPageH2StaffBody","Företagets VD och Tekniska chef är de enda individerna som har
 tillgång till SkrivaPå’s huvudservrar. Vi gör en bakgrundskontroll
 på alla anställda och alla måste underteckna strikta och ekonomiskt
 kraftfulla sekretessavtal gällande all känslig information som
 kan äventyra företagets eller våra kunders säkerhet.","The company's CEO and CTO are the only individuals with access
 to the Scrive main servers. We control the background of all
 employees, who also are required to sign strict and economically
 powerful privacy contract concerning all sensitive information
 that could endanger the security of the company or our customers."
"_securityPageH2TW","TrustWeaver lagring","TrustWeaver storage"
"_securityPageH2TWBody","SkrivaPå lagrar all juridisk data (läs mer under ”juridik”) hos
 TrustWeaver och vi erbjuder även våra kunder att lagra sina
 dokument hos dem. TrustWeavers tjänst, TrustWeaver On Demand,
 är installerad på två datacenter som är geografiskt separerade
 på ett avstånd större än 30 km. De atomsäkra serverhallarna
 där TrustWeaver On Demands servrar är placerade håller högsta
 säkerhetsstandard. De finns i bergrum som tidigare varit faciliteter
 åt den svenska militären och det huvudsakliga datacentret är
 klassat som skyddat objekt enligt svensk lag ”Lagen (1990:217)
 om skyddet av kritiska samhällsfunktioner, etc”. Anläggningarna
 är skyddade genom accesskortskontroll, slutna videoövervakningssystem,
 alarm med rörelsesensorer, brandskyddsystem, UPS energi system
 med dieselgeneratorer för backup, låsta och förseglade serverracket
 som endast kan öppnas med kopieringsskyddade nycklar. Alla ICC-kort
 är förseglade till ICC-kortsracket genom att använda specialdesignad
 säkerhetstejp.","Scrive stores all legal data (read more under ""Legal"") at TrustWeaver
 and we offer our customers to also save their documents in their
 storage. The TrustWeaver service, TrustWeaver On Demand, is
 installed in two data centers, geographically separated from
 each other at a distans larger than 30 km. The atom bomb proof
 server halls where the TrustWeaver On Demand servers are kept
 maintains the highest security standards available. They are
 located in caverns previously used by the Swedish military, and
 the main data center is classified as secured object according
 to the Swedish law (1990:217) concerning the protection of critical
 functions in society. The facilities are guarded by access card
 controls, closed circuit surveillance camera systems, alarm with
 motion detectors, fire protection systems, UPS power system
 with diesel back-up generators, and locked and sealed server
 rackets which can only be opened with copy protected keys. All
 ICC-cards are sealed in a ICC-card racket by specially designed
 adhesive security tape."
"_securityPageMetaDescription","Signera och arkivera dina avtal elektroniskt. SkrivaPå bevarar
 din säkerhet och integritet så att du kan koncentrera dig på
 ditt arbete.","Sign and store your contracts online. Scrive preserves your security
 and integrity so you can concentrate on your work."
"_securityPageTitle","| Säkerhet","| Security"
