"!Template name","LANG_SE","LANG_EN"
"_contractcancelledinfoheader","Dokument återkallat","Document withdrawn"
"_documentInfoTextDatamismatchSignedbymeImauthorHead","Avtalsprocessen avbruten","Signing process cancelled"
"_documentInfoTextElseAwaitingauthorBody","Dokumentet väntar på att undertecknas av inbjudande part.","The document is waiting to be signed by the inviting party."
"_documentInfoTextElseAwaitingauthorHead","Väntar","Waiting"
"_documentInfoTextElseBody","Problem Ledsen, det har uppstått ett problem att rendera sigillet
 på PDF:en. Vänliga ladda upp dokumentet igen. Om problemet upprepar
 sig var vänlig kontakta ","We are sorry, a problem occured when rendering the seal on the
 PDF. Please upload the document again. If the problem reoccurs,
 please contact"
"_documentInfoTextElseBodyMailSupport","support@skrivapa.se","support@scrive.com"
"_documentInfoTextElseHead","Problem","Problem"
"_documentInfoTextNotsignedbymeAwaitingauthorBody","Vänligen kontrollera dokumentet och parternas uppgifter och underteckna
 längst ned.","Please control the document and the party data, and sign at the
 bottom."
"_documentInfoTextNotsignedbymeAwaitingauthorHead","Granska","Review"
"_documentInfoTextPendingNotsignedbymeImauthorHead","Väntar","Waiting"
"_documentInfoTextPendingSignedbymeImauthorBody","Du har undertecknat och vi inväntar övriga parter.","You have signed, and are now waiting for the other signatories."
"_documentInfoTextPendingSignedbymeImauthorHead","Väntar på motpart","Waiting for counterpart"
"_documentInfoTextPreparationBody","Dokumentet är i förberedelsefasen.","The document is in the preparation phase."
"_documentInfoTextPreparationHead","Förberedelse","Preparation"
"_documentInfoTextRejectedElseImauthorBody","Dokumentet har avvisats av en motpart","The document has been rejected by a counterpart."
"_documentInfoTextRejectedElseImauthorHead","Avvisat","Rejected"
"_documentInfoTextRejectedNotsignedbymeImauthorBody","Dokumentet har avvisats av en motpart.","The document has been rejected by a counterpart."
"_documentInfoTextRejectedNotsignedbymeImauthorHead","Avvisat","Rejected"
"_documentInfoTextRejectedSignedbymeImauthorBody","Dokumentet har avvisats av en motpart.","The document has been rejected by a counterpart."
"_documentInfoTextRejectedSignedbymeImauthorHead","Avvisat","Rejected"
"_documentInfoTextSignedbymeAwaitingauthorBody","Du har undertecknat och vi inväntar övriga parter.","You have signed and are waiting for the other parties."
"_documentInfoTextSignedbymeAwaitingauthorHead","Väntar på motpart","Waiting for counterparty"
"_documentInfoTextTimedoutElseImauthorBody","Samtliga parter undertecknade inte dokumentet i tid. Förfallodatum
 har passerat och därför har dokumentet avbrutits.","All parties did not sign the document in time. The expiration
 date has passed and the document process is therefore cancelled."
"_documentInfoTextTimedoutElseImauthorHead","Förfallodatum har passerat","Expiration date has passed"
"_documentInfoTextTimedoutNotsignedbymeImauthorBody","Du kan inte längre underteckna dokumentet eftersom sista datum
 för att underteckna passerat.","You can no longer sign the document since the expiration date
 has passed."
"_documentInfoTextTimedoutNotsignedbymeImauthorHead","Förfallodatum har passerat","Expiration date has passed"
"_documentInfoTextTimedoutSignedbymeImauthorBody","Samtliga parter undertecknade inte dokumentet i tid. Förfallodatum
 har passerat och därför har dokumentet avbrutits.","All parties did not sign the document in time. The expiration
 date has passed and the document process is therefore cancelled."
"_documentInfoTextTimedoutSignedbymeImauthorHead","Förfallodatum har passerat","Expiration date has passed"
"_offercancelledinfoheader","Offert återkallad","Offer withdrawn"
"_offercancelledinfotext","har återkallat offerten. Den går således inte att acceptera.","has withdrawn the offer. You can no longer accept it."
"_offerpendingauthorinfoheader","Väntar på accept","Waiting for acceptance"
"_offerpendingauthorinfotext","Du har skickat offerten. Offerten har ännu inte accepterats av
 mottagaren.","You have sent the offer. It has not yet been accepted by the
 recipient."
"_offerpendingauthornotsignedinfoheader","Granska innan accept","Please review before you accept"
"_offerpendingauthornotsignedinfotext","Vänligen var noga med att granska offerten innan du accepterar.","Please review the offer thoroughly before you accept it."
"_offersignedinfoheader","Offert accepterad","Offer accepted"
"_offersignedinfotextFrom","från","from"
"_offersignedinfotextHasAccepted","har accepterat offerten","has accepted the offer"
"_offerstatusinfotext","Du har skickat en inbjudan att acceptera offerten. Vänligen inväntan
 accepten.","You have sent an invitation to accept the offer. Please wait
 for the acceptance."
"_ordercancelledinfoheader","Order återkallad","Order withdrawn"
"_ordercancelledinfotext","har återkallat ordern. Den går således in att bekräfta.","has withdrawn the order. You can no longer confirm it."
"_orderpendingauthorinfoheader","Väntar på bekräftelse","Waiting for confirmation"
"_orderpendingauthorinfotext","Du har skickat orderbekräftelsen. Orderbekräftelsen har ännu
 inte bekräftats av din mottagare.","You have sent the order confirmation. It has not yet been confirmed
 by the recipient."
"_orderpendingauthornotsignedinfoheader","Granska innan bekräftelse","Please review before you confirm"
"_orderpendingauthornotsignedinfotext","Vänligen var noga med att granska ordern innan du bekräftar.","Please review the order thoroughly before you confirm it."
"_ordersignedinfoheader","Ordern bekräftad","Order confirmed"
"_ordersignedinfotextFrom","från","from"
"_ordersignedinfotextHasConfirmed","har bekräftat ordern","has confrmed the order"
"_orderstatusinfotext","Du har skickat en inbjudan att bekräfta ordern. Vänligen invänta
 bekräftelsen.","You have sent an invitation to confirm the order. Please wait
 for the confirmation."
