"!Template name","LANG_SV","LANG_EN"
"_code","sv","en"
"_docListTabsDocs","Dokument","Documents"
"_docListTabsBin","Raderade dokument","Deleted documents"
"_docListTabsTemplates","Mallar","Templates"
"_editInviteTextDialogHead","Hälsningsmeddelande","Invitation message"
"_eleg","E-legitimation","E-ID"
"_email","E-post","Email"
"_emptyOrNotValidEmail","Du har inte skrivit in en e-post eller e-posten är felaktig. Vänligen försök igen.","You have not entered an email address or the email address is incorrect. Please try again."
"_emptyOrNotValidMobile","Du har inte skrivit in ett mobilnummer eller numret är felaktigt. Vänligen kontrollera att numret börjar med ett + tecken och landskod.","You have not entered a mobile number, or the number is incorrect. Please note that the number must be on international format starting with a + sign and country code."
"_evidenceAttachmentBoxHeader","Bevisbilagor","Evidence attachments"
"_fieldNameFieldName","namn på fält","field name"
"_fieldValueFieldName","värde på fält","field value"
"_firstname","Förnamn","First name"
"_fullName","Namn","Full name"
"_flashAuthorSigned","Dokumentet har signerats.","The document has been signed."
"_flashMessageCompanyAccountDeleted","Kontot har tagits bort.","The account was successfully removed."
"_flashMessageAccessNewAccountLinkNotValid","Vi beklagar. Länken är inte längre giltig. Klicka på ""$_forgotpassword()$"" så mailar vi en ny länk som du kan använda för att komma åt ditt e-arkiv.","We are sorry. This link is no longer valid.  Click on ""$_forgotpassword()$"", and we will mail you a new link by which you can access your e-archive."
"_flashMessageAttachmentArchiveDone","Valda bilagor har blivit raderade.","The selected attachments have been deleted."
"_flashMessageBadOldPassword","Du har skrivit in fel nuvarande lösenord.","Current password incorrect."
"_flashMessageBulkDocumentRemindsSent","Påminnelser har skickats till samtliga parter som ännu inte signerat.","Reminders have been sent to all recipients who have not yet signed."
"_flashMessageChangePasswordEmailSend","Ett nytt lösenord har skickats till din e-post.","A new password has been sent to your email address."
"_flashMessageDocumentArchiveDone","Valda dokument har blivit raderade.","The selected documents have been deleted."
"_flashMessageInputExceedsMaxLength","$fieldnametitlecase$ får max innehålla $maxlength$ tecken.","$fieldnametitlecase$ must contain at most $maxlength$ characters."
"_flashMessagePasswordInvalid","Lösenordet måste vara minst 8 tecken samt innehålla åtminstone en bokstav och en siffra","Password must contain at least 8 characters and contain at least one letter and one digit."
"_flashMessagePasswordExceedsMaxLength","Lösenordet får max innehålla 250 tecken.","The password must contain at most 250 characters."
"_flashMessageInputLessThanMinLength","$fieldnametitlecase$ måste innehålla minst $minlength$ tecken.","$fieldnametitlecase$ must contain at least $minlength$ characters."
"_flashMessageInvalidFormat","$fieldnametitlecase$ är ej korrekt formaterad.","$fieldnametitlecase$ is incorrectly formated."
"_flashMessageInvalidPrintableCharsInInput","$fieldnametitlecase$ innehåller ej tillåtna tecken.","$fieldnametitlecase$  contains invalid characters."
"_flashMessageInvalidCharsInPassword","Lösenordet innehåller otillåtna tecken.","The password contains invalid characters."
"_flashMessageInvalidSpaceInInput","Blankrad är inte tillåtet i $fieldnamelowercase$.","Blank rows are not allowed in $fieldnamelowercase$."
"_flashMessageInvalidUnprintableCharsInInput","$fieldnametitlecase$ innehåller ej tillåtna tecken.","$fieldnametitlecase$ contains invalid characters."
"_flashMessageLoginPageRedirectReasonNotAdmin","Du har inte behörighet att se denna sida.","You are not authorised to see this page."
"_flashMessageLoginPageRedirectReasonNotLoggedIn","Du är inte inloggad.","You are not logged in."
"_flashMessageLoginPageRedirectReasonWrongMailOrPassword","Felaktig e-post eller lösenord.","Incorrect email or password."
"_flashMessageLoginPageRedirectReasonWrongIPAddress","Du kan inte använda Scrive från IP ipaddr. Vänligen kontakta 'adminname' som är din systemadministratör.","You cannot use Scrive system from IP ipaddr. Please contact 'adminname' who is your system administrator."
"_flashMessageMissingRequiredField","Du har missat att fylla i ett obligatoriskt fält.","You missed to fill at least one mandatory field."
"_flashMessageAttachmentShareDone","Valda bilagor har blivit delade inom din organisation.","The selected attachments have been shared with your organisation."
"_flashMessageTemplateShareDone","Valda mallar har blivit delade inom din organisation.","The selected templates have been shared with your organisation."
"_flashMessageMustAcceptTOS","Vänligen acceptera Scrive Allmänna Villkor för att komma igång.","Please accept the Scrive Terms of Service to get started."
"_flashMessageNewActivationLinkSend","Vi har skickat din kontoinbjudan igen. Vänligen gå tillbaka till din inkorg och följ instruktionerna i mailet för att aktivera ditt konto.","We have resent your account activation link. Please go to your inbox and follow the instructions in the email to activate your account."
"_flashMessageNoBulkDocumentRemindsSent","Inga påminnelser skickades eftersom inget av dokumenten du valt kan signeras av fler parter.","No reminders were sent because none of the selected documents can be signed by additional parties."
"_flashMessageNotAValidInteger","$fieldnametitlecase$ borde vara ett nummer.","$fieldnametitlecase$ should be a number."
"_flashMessageNumberAboveMaximum","$fieldnametitlecase$ kan vara ett max av $max$.","$fieldnametitlecase$ can be a maximum of $max$."
"_flashMessageNumberBelowMinimum","$fieldnametitlecase$ måste vara ett minimum av $min$.","$fieldnametitlecase$ must be a minimum of $min$."
"_flashMessagePasswordChangeLinkNotValid","Vi beklagar. Länken är inte längre giltig.<br/>Klicka på ""$_forgotpassword()$"" för att generera en ny länk.","We are sorry. This link is no longer valid.<br/>Click on ""$_forgotpassword()$"" to generate a new link."
"_flashMessagePasswordsDontMatch","De två lösenorden matchar inte.","The two passwords do not match."
"_flashMessageRubbishHardDeleteDone","De valda dokumenten har raderats permanent.","The selected documents have been permanently deleted."
"_flashMessageRubbishRestoreDone","De valda dokumenten har återförts till ditt arkiv.","The selected documents have been restored to your archive."
"_flashMessageTemplateArchiveDone","Valda mallar har blivit raderade.","The selected templates have been deleted."
"_flashMessageUserActivated","Välkommen till Scrive!","Welcome to Scrive!"
"_flashMessageUserAlreadyActivated","Du har redan aktiverat detta konto.","You have already activated this account."
"_flashMessageUserDetailsSaved","Dina kontoinställningar har sparats.","Your account settings have been saved."
"_flashMessageCompanyCreated","Ett företagskonto har skapats. Du kan nu börja bjuda in kollegor till Scrive.","A company account has been created. You can now start inviting your colleagues to Scrive."
"_flashMessageUserHasBecomeCompanyAccount","Ditt konto är nu en del av $companyname$ och rättigheterna till dina dokument har nu överförts till $companyname$.","Your account is now a part of $companyname$ and the rights to your documents have been transferred to $companyname$."
"_flashMessageUserHasLiveDocs","Det går inte att ta bort kontot eftersom användaren har dokument som ännu inte avslutats eller avbrutits.","Unable to remove the account as the user has documents that have not yet been finalised or cancelled."
"_flashMessageUserPasswordChanged","Ditt lösenord har lagrats.","Your password has been set."
"_flashMessageUserWithSameEmailExists","En användare med samma e-post existerar redan.","A user with the same email already exists."
"_flashRemindMailSentNotSigned","En påminnelse har skickats till","A reminder has been sent to"
"_flashRemindMailSentSigned","Dokumentet har skickats till","The document has been sent to"
"_flashMessageContractRestarted","Du har startat om processen och kan nu justera inställningarna och skicka inbjudan på nytt.","You have restarted the process and can now adjust the settings and send the invitation again."
"_flashMessageContractProlonged","Du har förlängt förfallodatum.","Due date extended."
"_forgotpassword","glömt lösenordet?","forgot password?"
"_headerAccount","Konto","My account"
"_headerArchive","Arkiv","My archive"
"_headerLogOut","Logga ut","Log out"
"_headerSend","Starta ny process","Start new document"
"_headerTemplate","Börja från mall","Start document from template"
"_idFieldName","id","id"
"_ie6NotSupported","Vi beklagar. Din webbläsare Internet Explorer 6 är mer än 10 år gammal och vi har därför valt att inte stödja den. Vänligen uppgradera till en modern webbläsare så kommer såväl Scrives signeringstjänst som övriga internet att fungera betydligt bättre för dig.","We are sorry. Your browser Internet Explorer 6 is more than 10 years old and we have therefore chosen to not support it. Please upgrade to a newer version and both the Scrive signing service and the rest of internet will work much better for you."
"_invitationMailDeferredContentBodyFirst","Vi skickar detta meddelande för att meddela att vårt system inte kan leverera mailet till <strong>$counterpart$</strong> &lt;$counterpartemail$&gt;. Antingen finns inte e-postadressen eller så ligger mottagarens e-postserver nere för tillfället. Vänligen börja med att kontrollera att mottagarens e-post är korrekt.","We are sending this message to notify you that we are experiencing difficulties delivering the invitation to e-sign to <strong>$counterpartname$</strong> &lt;$counterpartemail$&gt;. Either their address is incorrect or their mail server is experiencing issues."
"_invitationMailDeferredContentBodySecond","Vi fortsätter försöka att nå mottagarens server och meddelar inom kort hur det gått. Klicka på länken nedan om du vill stoppa våra försök eller om du vill ändra e-postadressen.<br />","We will continue attempting to deliver the mail and will notify you of the progress. Click the link below if you wish to cancel the process or change the address.<br  />"
"_invitationMailDeferredTitle","Problem med leverans","Delivery problems"
"_invitationMailDeliveredAfterDeferredContentBody","Vi meddelade dig tidigare om att vi hade problem att nå mottagarens server. Efter upprepade försök har vår server lyckats leverera inbjudan till dokumentet <strong>$documenttitle$</strong> till $email$.","We notified you in an earlier email that we were having difficulties delivering an email. After subsequent attempts we have successfully delivered the invitation for the document <strong>$documenttitle$</strong> to $email$."
"_invitationMailDeliveredAfterDeferredTitle","Lyckosam leverans","Successfully delivered"
"_invitationMailUndeliveredContentBody","Vi har inte kunnat leverera din inbjudan att signera dokumentet <strong>$documenttitle$</strong>. Det beror antingen på problem med mottagarens e-postserver eller mer troligt på att e-postadressen är felaktig.","We have not been able to deliver the invitation to e-sign the document  <strong>$documenttitle$</strong> to <strong>$name$</strong> &lt;$email$&gt;. This may be because the recipient's mail server is experiencing difficulties, or because the email address you have provided is incorrect."
"_invitationMailUndeliveredContentInstruction","<ol><li>Klicka på dokumentet i ditt arkiv eller på följande länk<br/> <a href=""$ctxhostpart$$unsigneddoclink$"">$ctxhostpart$$unsigneddoclink$</a></li><li>Klicka ""Ändra e-post""</li><li>Kontrollera e-postadressen och skicka igen</li></ol>","<ol><li>Access the document from your archive or by clicking the following link:
<br/><a href=""$ctxhostpart$$unsigneddoclink$"">$ctxhostpart$$unsigneddoclink$</a></li><li>Click ""Change email""</li><li>Confirm the email address and send again</li></ol>"
"_invitationMailUndeliveredTitle","Misslyckad leverans","Delivery failure"
"_invitationMailUndeliveredContentBodyFirst","För att ändra epostadressen och skicka inbjudan igen:","To correct the email address and resend the invitation:"
"_invitationSMSUndeliveredContentBody","Vi har inte kunnat leverera din inbjudan att signera dokumentet <strong>$documenttitle$</strong>. Det beror troligen på att mobilnumret är felaktigt.","We have not been able to deliver the invitation to e-sign the document <strong>$documenttitle$</strong> to <strong>$name$</strong> &lt;$mobile$&gt;. This may be because the phone number you have provided is incorrect."
"_invitationSMSUndeliveredContentInstruction","<ol><li>Klicka på dokumentet i ditt arkiv eller på följande länk <br/> <a href=""$ctxhostpart$$unsigneddoclink$"">$ctxhostpart$$unsigneddoclink$</a></li><li>Klicka ""Ändra mobilnummer""</li><li>Kontrollera mobilnumret och skicka igen</li></ol>","<ol><li>Access the document from your archive or by clicking the following link:<br/><a href=""$ctxhostpart$$unsigneddoclink$"">$ctxhostpart$$unsigneddoclink$</a></li><li>Click ""Change phone number""</li><li>Confirm the phone number and send again</li></ol>"
"_invitationSMSUndeliveredTitle","Misslyckad leverans","Delivery failure"
"_invitationSMSUndeliveredContentBodyFirst","För att ändra telefonnumret och skicka inbjudan igen:","To correct the phone number and resend the invitation:"
"_mailNewCompanyUserInviteContentBodyUserName","Användarnamn:","Username:"
"_mailNewCompanyUserInviteContentClickLink","Vänligen klicka på länken för att aktivera ditt konto:<br/>","Please click to activate your account:<br/>"
"_mailTakeoverPrivateUserInviteContentBodyFirst","<strong>$invitername$</strong> har bjudit in dig att göra ditt privata Scrive-konto till ett konto tillhörande <strong>$companyname$</strong>. Om du accepterar kommer ditt konto och dina dokument att ägas av <strong>$companyname$</strong>.","<strong>$invitername$</strong> has invited you to convert your private Scrive account into a company account with <strong>$companyname$</strong>. If you accept this invite, your account and documents will be owned by <strong>$companyname$</strong>."
"_mailTakeoverPrivateUserInviteContentBodySecond","Vänligen iaktta försiktighet innan du accepterar. Särskilt om du har privata dokument i kontot.","You should not have any private documents in your account when accepting, so please follow the steps below before accepting this request:"
"_mailTakeoverPrivateUserInviteContentInstructionFirst","Så här går du vidare:","       "
"_mailTakeoverPrivateUserInviteContentInstructionSecond","<li>Kontrollera att du inte har några privata dokument i arkivet.</li><li>Spara ned samtliga privata dokument till din dator</li><li>Klicka på knappen nedan</li><li>Läs meddelandet online</li><li>Acceptera</li><li>Ditt konto är nu ett företagskonto</li>","<li>Check your archive for private or personal documents</li><li>Download and save these documents and then remove them from your archive</li>"
"_mailTakeoverPrivateUserInviteContentInstructionThird","      ","Once you have done this, please click on the button below and follow the online instructions:<br/>"
"_mailTakeoverPrivateUserInviteContentLink","Klicka på knappen för att acceptera inbjudan:","      "
"_mailTakeoverPrivateUserInviteTitle","Förfrågan att överföra ditt konto","Request to transfer your account"
"_mailTakeoverPrivateUserInviteAcceptButton","Överför konto","Transfer account"
"_inviteTextFieldName","inbjudningstext","invite text"
"_lastname","Efternamn","Last name"
"_legalparagraphBody","Detta e-postmeddelande innehåller konfidentiell information och får inte vidarebefordras. Avslöjande, kopiering, distribution  eller annan behandling av informationen i meddelandet är förbjuden och kan vara olagligt. Om du felaktigt mottagit detta meddelande ber vi dig omedelbart informera avsändaren samt att därefter radera meddelandet.","This email contains confidential information and should not be forwarded. Disclosure, copying, distribution or other processing of the information contained in this message is prohibited and may be unlawful. If you have received this in error please notify the sender and delete immediately."
"_listLocalDialogsBody","Är du säker att du vill radera","Are you sure that you want to delete"
"_listReallyDeleteDialogBody","Är du säker på att du vill ta bort följande dokument från papperskorgen? Detta betyder att de försvinner permanent, och du kommer inte kunna återställa dem.","Are you sure you want to remove the selected documents from the rubbish bin?  This will mean the documents are permanently deleted, and you will not be able to restore them."
"_listReallyDeleteDialogHead","Radera permanent","Permanent delete"
"_listRestoreDialogBody","Vill du återställa följande dokument?","Would you like to restore the selected documents?"
"_listRestoreDialogHead","Återställ","Restore"
"_listShareDialogBody","Vill du dela detta med alla i din organisation?","Do you want to share this with everyone in your organisation?"
"_listShareDialogHead","Dela","Share"
"_listand","och","and"
"_loadingFile","Laddar upp . . .","Uploading . . ."
"_login","Logga in","Log in"
"_loginModalForgotPasswordSendNewPassword","Återställ","Reset"
"_mailContractClosedContentAttached","Det färdigställda dokumentet bifogas med detta mail.","The finalised document is attached."
"_mailClosedSignup","Du kan spara en säkerhetskopia av dokumentet: <a href='$confirmationlink$'>klicka här för att spara</a>","You can save a safety copy of the document: <a href='$confirmationlink$'>click here to save</a>"
"_mailClosedLogin","Dokumentet har även sparats till ditt Scrive-konto: <a href='$doclink$'>logga in för att se ditt dokument.</a>","The document has also been saved to your Scrive account: <a href='$doclink$'>click here to view it.</a>"
"_mailContractClosedContentSignedBy","Dokumentet <strong>$documenttitle$</strong> har signerats av $partylist:noescape()$. Avtalet är nu bindande.","The document <strong>$documenttitle$</strong> has been signed by $partylist:noescape()$. This agreement is now legally binding."
"_mailDocumentAwaitingForAuthorContentSignedBy","Du har bjudit in $partylist:noescape()$ att signera dokumentet <strong>$documenttitle$</strong>. Dokumentet har nu signerats av $partylistSigned:noescape()$. <br/><br/> Det är nu din tur att signera.","You have invited $partylist:noescape()$ to sign the document <strong>$documenttitle$</strong>. This document has now been signed by $partylistSigned:noescape()$.<br/><br/>It is now your turn to sign."
"_mailDocumentAwaitingForAuthorContentReadyForSigning","Dokumentet <strong>$documenttitle$</strong> är färdigt att signeras.","The document <strong>$documenttitle$</strong> is ready to sign."
"_mailDocumentAwaitingForAuthorTitle","Dokument att e-signera: $documenttitle$","Document to e-sign: $documenttitle$"
"_mailDocumentClosedTitleContract","$_mailDocumentCorrectionOrConfirmation()$: e-signerat avtal $documenttitle$","$_mailDocumentCorrectionOrConfirmation()$: e-signed contract $documenttitle$"
"_mailDocumentCorrectionOrConfirmation","$if(sealFixed)$Korrigering$else$Bekräftelse$endif$","$if(sealFixed)$Correction$else$Confirmation$endif$"
"_mailDocumentCorrectionBody","Vid tidpunkten $closingtime$ signerades dokumentet <strong>$documenttitle$</strong> och vi skickade dig ett exemplar av dokumentet.<br/><br/>Vi har upptäckt att det var ett tekniskt fel när dokumentet färdigställdes av vårt e-signeringssystem. Felet hindrade e-signeringssystemet från att försegla dokumentet med en digital signatur. Felet har nu åtgärdats och dokumentet har nu förseglats med en digital signatur.<br/><br/>Bifogat med detta mail finner du det förseglade dokumentet med en ny digital signatur. För att undvika framtida förväxling rekommenderar vi att du behåller detta dokument och slänger föregående version.<br/><br/>Om du är intresserad av att läsa mer om syftet med digitala signaturer rekommenderar vi denna artikel: <a href='http://en.wikipedia.org/wiki/Digital_signature'>http://en.wikipedia.org/wiki/Digital_signature</a>","At $closingtime$ the document <strong>$documenttitle$</strong> was signed and we sent you a copy of the document.<br/><br/>We have found that there was a technical issue when the document was finalised by our e-signing system. The issue prevented the e-signing system from sealing the document with a digital signature. The issue has been corrected and the document has now been sealed with a digital signature.<br/><br/>Find the document with the new digital signature attached. To avoid future confusion please keep this document and discard the previous version.<br/><br/>If you are interested to learn more about the purpose of digital signatures we recommend this article: <a href='http://en.wikipedia.org/wiki/Digital_signature'>http://en.wikipedia.org/wiki/Digital_signature</a>"
"_mailDocumentErrorContentBodyFirst","Vi ber om ursäkt, Scrives system kunde inte hantera filformatet för dokumentet <strong>$documenttitle$</strong>. Signeringsprocessen har därmed avbrutits. Vi beklagar besväret. Våra tekniker har fått ett meddelande om problemet.","We are sorry, the Scrive system could not handle the document file <strong>$documenttitle$</strong>, therefore the signing process has been canceled. Our technicians have been notified about this issue."
"_mailDocumentErrorContentBodyFourth","Vi beklagar för eventuellt besvär som detta orsakar","We are sorry for the inconvenience"
"_mailDocumentErrorContentBodySecond","Vänligen kontakta Scrives support på <a href=""mailto:support@scrive.com"">support@scrive.com</a> om du vill ha hjälp med att lösa problemet.","Please contact the Scrive support at <a href=""mailto:support@scrive.com"">support@scrive.com</a> if you have any comments or questions regarding this issue."
"_mailDocumentErrorContentBodyThird","       ","We apologize for the inconvenience.<br/><br/>"
"_mailDocumentErrorTitle","Problem med filformat","Problem with file format"
"_mailInvitationToSignContractDefaultHeader","<strong>$creatorname$</strong> har bjudit in dig att signera dokumentet <strong>$documenttitle$</strong> elektroniskt genom tjänsten Scrive e-signering.","<strong>$creatorname$</strong>  has invited you to sign the document <strong>$documenttitle$</strong> electronically through the Scrive e-signing system."
"_mailInvitationToSignTitleContract","Avtal att e-signera: $documenttitle$","Contract to e-sign: $documenttitle$"
"_mailInvitationToViewDefaultHeader","<strong>$creatorname$</strong> har bjudit in dig att granska dokumentet <strong>$documenttitle$</strong>.","<strong>$creatorname$</strong> has invited you to review the document <strong>$documenttitle$</strong>."
"_mailInvitationToViewTitleContract","Avtal att granska: $documenttitle$","Contract to review: $documenttitle$"
"_mailMismatchAuthorContentBodyFirst","Den information som du angivit om <strong>$badname$</strong>s identitet stämmer inte med uppgifterna från <strong>$badname$</strong>s e-legitimation.","The information given by you about <strong>$badname$</strong>'s identity does not match the information given by <strong>$badname$</strong>'s e-legitimation."
"_mailMismatchAuthorContentBodySecond","Signeringsprocessen har därför avbrutits och alla involverade parter har blivit informerade via epost. Du kan <a href=""$ctxhostpart$$loginlink$"">logga in</a> på ditt konto online för att starta om processen.","The signing process for <strong>$documenttitle$</strong> has therefore been cancelled and all involved parties have been informed by email. You may <a href=""$ctxhostpart$$loginlink$"">log in</a> to your account online to restart the signing process."
"_mailMismatchAuthorContentBodyThird","Om du har några frågor tveka inte att kontakta Scrives support på <a href=""mailto:support@scrive.com"">support@scrive.com</a>.","If you have any questions don't hesitate to contact the Scrive support at <a href=""mailto:support@scrive.com"">support@scrive.com</a>."
"_mailMismatchAuthorTitle","Felaktiga personuppgifter","Mismatched information"
"_mailMismatchSignatoryContentBodyFirst","Den information som du angivit om <strong>$badname$</strong>s identitet stämmer inte med uppgifterna från <strong>$badname$</strong>s e-legitimation.","The information given by you about <strong>$badname$</strong>'s identity does not match the information given by <strong>$badname$</strong>'s e-legitimation."
"_mailMismatchSignatoryContentBodySecond","Signeringsprocessen har därför avbrutits och alla involverade parter har blivit informerade via epost. Du kan <a href=""$ctxhostpart$$loginlink$"">logga in</a> på ditt konto online för att starta om processen.","The signing process for <strong>$documenttitle$</strong> has therefore been cancelled and all involved parties have been informed by email. You may <a href=""$ctxhostpart$$loginlink$"">log in</a> to your account online to restart the signing process."
"_mailMismatchSignatoryContentBodyThird","Om du har några frågor tveka inte att kontakta Scrives support på <a href=""mailto:support@scrive.com"">support@scrive.com</a>.","If you have any questions don't hesitate to contact the Scrive support at <a href=""mailto:support@scrive.com"">support@scrive.com</a>."
"_mailMismatchSignatoryTitle","Problem med matchning av personuppgifter","Mismatched information"
"_mailNewAccountCreatedByAdminContentBody","Klicka för att aktivera kontot:<br/>","Click to activate the account:<br/>"
"_mailNewAccountCreatedByAdminContentHeaderBodyFirst","<strong>$creatorname$</strong> har skapat ett konto åt dig i Scrive.","<strong>$creatorname$</strong> has created an account for you at Scrive."
