"!Template name","LANG_SE","LANG_EN"
"_addressFieldName","adress","address"
"_flashMessageNoDataInCSVApartFromHeader","Kunde inte hitta några data i filen, kunde bara hitta titlar.","Scrive could not find any data in the file apart from column
 headers."
"_flashMessageNoRemainedInvitationEmails","Du har redan skickat 10 inbjudningar till denna e-post. Vänligen
 försök senare.","You have sent 10 invitations to this e-mail address. Please try
 again later."
"_flashMessageNoRemainedPasswordReminderEmails","Du har redan begärt lösenordsbyte 10 gånger i rad. Vänligen försök
 igen senare.","You have requested a password change 10 times in a row. Please
 try again later."
"_flashMessageNotAValidInteger","$fieldnametitlecase$ should be a number.","$fieldnametitlecase$ should be a number."
"_flashMessageNumberAboveMaximum","$fieldnametitlecase$ can be a maximum of $max$.","$fieldnametitlecase$ can be a maximum of $max$."
"_flashMessageNumberBelowMinimum","$fieldnametitlecase$ must be a minimum of $min$.","$fieldnametitlecase$ must be a minimum of $min$."
"_flashMessageNumberIsRequired","Nummer krävs.","Number required."
"_flashMessageOfferArchiveDone","Valda offerter har blivit raderade.","The selected offers have been deleted."
"_flashMessageOnlyHaveRightsToViewDoc","Du har endast rättigheter att se detta dokument.","You are only authorised to view this document."
"_flashMessageOtherUserSentInvitation","Inbjudan har redan skickats av en annan användare.","An invitation has already been sent by another user."
"_flashMessagePasswordChangeLinkNotValid","Vi beklagar. Länken är inte längre giltig.<br/>     Vänligen
 använd ""Glömt lösenord"" för att generera en ny länk.","We are sorry, this link is no longer valid.<br/> Please use ""Forgot
 password"" to generate a new link."
"_flashMessagePasswordsDontMatch","""Nytt lösenord"" matchar inte med ""Upprepa lösenord""","""New password"" does not match ""Repeat password"""
"_flashMessagePleaseSignContract","Underteckna dokumentet längst ned på sidan.","Sign the document at the bottom of the page."
"_flashMessagePleaseSignOffer","Du kan acceptera offerten längst ned på sidan.","Accept the offer at the bottom of the page."
"_flashMessagePleaseSignWithEleg","Du undertecknar dokumentet längst ned. Det krävs e-legitimation
 för att underteckna.","Sign the document at the bottom of the page. E-ID is required
 to sign."
"_flashMessageRowGreaterThanMaxColCount","Raden kan inte ha mer än $maxcols$ kolumner.","The row must not have more than $maxcols$ columns."
"_flashMessageRowLessThanMinColCount","Raden behöver åtminstone $mincols$ kolumner.","The row must have at least $mincols$ columns."
"_flashMessageSecondNameIsRequired","Efternamn krävs.","Last name required."
"_flashMessageSingleAttachmentShareDone","$docname$ har blivit delad inom din organisation.","$docname$ has been shared whith your organisation."
"_flashMessageSingleTemplateShareDone","$docname$ har blivit delad inom din organisation.","$docname$ has been shared with your organisation."
"_flashMessageTemplateArchiveDone","Valda mallar har blivit raderade.","The selected templates have been deleted."
"_flashMessageThanksForTheQuestion","Ditt meddelande har skickats! Vi återkommer inom 24h.","Your message has been sent! We will get back to you within 24
 hours."
"_flashMessageUserActivated","Välkommen till SkrivaPå!","Welcome to Scrive!"
"_flashMessageUserAlreadyActivated","Du har redan aktiverat detta konto.","You have already activated this account."
"_flashMessageUserDetailsSaved","Dina kontoändringar har sparats.","Your account settings have been saved."
"_flashMessageUserHasBecomeSubaccount","Du är nu underkonto underhuvudkontot $supervisor.fullnamePlusEmail$
 och rättigheterna till dinadokument har överförts till huvudkontot.","Your account is now a subaccount to the main account $supervisor.fullnamePlusEmail$
 and the rights to your documents have been transferred."
"_flashMessageUserHasLiveDocs","Unable to remove account(s) as there are some remaining documents
 that need to be finalised (spec/translate me please).","Unable to remove account(s) as there are some remaining documents
 that need to be finalised."
"_flashMessageUserInvitedAsSubaccount","Din förfrågan har skickats!","Your request has been sent!"
"_flashMessageUserPasswordChanged","Ditt lösenord har ändrats.","Your password has been changed."
"_flashMessageUserSignupDone","Ditt konto har skapats! Vi har skickat ett mail med dina användaruppgifter
 till din inkorg.","Your account has been created! An email containing your account
 details has been sent to your inbox."
"_flashMessageUserWithSameEmailExists","En användare med samma e-post existerar redan.","A user with this email already exists."
"_flashMessageViralInviteSent","Inbjudan har skickats!","The invitation has been sent!"
"_flashRemindMailSentNotSigned","En påminnelse har skickats till","A reminder has been sent to"
"_flashRemindMailSentSigned","Dokumentet har skickats till","The document has been sent to"
"_idFieldName","id","id"
"_inviteTextFieldName","invite text","invite text"
"_nameFieldName","namn","name"
"_passwordFieldName","lösenord","password"
"_placeFieldName","place","place"
